Age,Aggression,Agility,Dribbling
27.391304347826086,52.608695652173914,76.06521739130434,73.6086956521739
26.050505050505052,67.18181818181819,51.5959595959596,43.24242424242424
25.763636363636362,70.76363636363637,66.10909090909091,61.78181818181818
23.5,61.0,79.5,80.5
23.5,62.52173913043478,66.02173913043478,65.65217391304348
28.195876288659793,26.072164948453608,39.876288659793815,14.855670103092784
25.728813559322035,66.54237288135593,69.66101694915254,65.67796610169492
28.314285714285713,73.51428571428572,50.628571428571426,48.114285714285714
26.2,65.44,69.0,67.56
30.0,73.375,69.0,65.8125
26.666666666666668,53.0,84.0,81.33333333333333
24.765625,50.734375,77.15625,71.578125
29.076923076923077,57.07692307692308,69.46153846153847,71.15384615384616
23.40740740740741,48.03703703703704,76.74074074074075,71.88888888888889
27.25,69.0,70.25,68.25
25.14,64.6,68.78,62.84
28.54054054054054,72.16216216216216,50.45945945945946,45.648648648648646
27.333333333333332,70.5,71.05555555555556,69.05555555555556
28.0,69.0,68.8,66.2
31.5,50.5,81.5,87.5
25.29032258064516,52.32258064516129,76.5,70.6774193548387
30.9,61.4,75.2,71.5
24.275862068965516,46.62068965517241,76.20689655172414,71.51724137931035
26.0,65.0,71.0,64.0
25.632,50.2,66.704,65.52
28.074074074074073,53.44444444444444,71.91358024691358,70.8395061728395
27.742424242424242,70.22727272727273,51.31818181818182,44.28787878787879
27.813953488372093,72.46511627906976,62.883720930232556,60.04651162790697
26.5,50.5,79.0,78.25
24.27777777777778,65.11111111111111,71.66666666666667,72.33333333333333
28.91176470588235,30.5,43.30882352941177,13.794117647058824
30.923076923076923,47.46153846153846,76.3076923076923,72.76923076923077
27.62686567164179,69.05970149253731,71.85074626865672,68.34328358208955
28.46808510638298,74.55319148936171,52.8936170212766,47.95744680851064
27.3125,65.3125,70.6875,72.25
28.88,70.48,64.64,66.28
24.0,41.0,72.0,74.0
25.266666666666666,50.8,77.0,74.2
27.066666666666666,62.333333333333336,72.53333333333333,73.73333333333333
26.0,51.46666666666667,81.2,76.26666666666667
29.142857142857142,49.857142857142854,76.28571428571429,73.14285714285714
28.333333333333332,67.88888888888889,71.28571428571429,67.15873015873017
28.23076923076923,73.87179487179488,48.43589743589744,49.333333333333336
27.466666666666665,71.66666666666667,68.6,71.73333333333333
28.5,75.0909090909091,68.45454545454545,65.5
24.391304347826086,52.52173913043478,80.34782608695652,74.6086956521739
23.875,50.25,72.625,70.0
24.333333333333332,47.38095238095238,77.47619047619048,76.0
27.675675675675677,53.45945945945946,68.09009009009009,69.33333333333333
22.40277777777778,51.02777777777778,74.09722222222223,65.66666666666667
23.161490683229815,61.78260869565217,51.39751552795031,39.64596273291925
25.58,69.58,63.62,60.34
26.0,48.0,80.0,67.0
23.23469387755102,60.03061224489796,66.48979591836735,59.92857142857143
25.17816091954023,26.971264367816094,41.64942528735632,14.74712643678161
23.79032258064516,59.96774193548387,66.5,60.564516129032256
26.5,67.96296296296296,53.074074074074076,45.72222222222222
24.454545454545453,62.06060606060606,71.66666666666667,63.78787878787879
24.53846153846154,64.07692307692308,66.76923076923077,61.0
24.123711340206185,46.50515463917526,75.18556701030928,65.47422680412372
26.923076923076923,58.80769230769231,70.57692307692308,60.65384615384615
22.77777777777778,45.22222222222222,75.33333333333333,65.55555555555556
24.2,62.9,70.7,59.6
23.840336134453782,62.39495798319328,66.96638655462185,59.252100840336134
26.071428571428573,69.32142857142857,54.875,45.607142857142854
25.513513513513512,69.32432432432432,69.24324324324324,63.648648648648646
26.0,70.3076923076923,65.84615384615384,62.46153846153846
23.530434782608694,46.70434782608696,75.03478260869565,65.09565217391304
25.857142857142858,54.642857142857146,68.85714285714286,59.857142857142854
21.57894736842105,36.78947368421053,78.3157894736842,68.52631578947368
23.066666666666666,60.333333333333336,70.46666666666667,56.46666666666667
23.27433628318584,51.176991150442475,65.3141592920354,57.69469026548673
25.15686274509804,54.254901960784316,71.27450980392157,68.70588235294117
23.741935483870968,64.27956989247312,50.29032258064516,42.98924731182796
23.603174603174605,66.93650793650794,62.84126984126984,60.17460317460318
23.120689655172413,65.1896551724138,69.06896551724138,67.34482758620689
24.89108910891089,25.564356435643564,38.01980198019802,13.346534653465346
24.641025641025642,65.38461538461539,67.37179487179488,61.794871794871796
26.64864864864865,72.37837837837837,54.189189189189186,49.567567567567565
26.0,66.29411764705883,70.82352941176471,71.70588235294117
25.941176470588236,70.82352941176471,67.70588235294117,67.6470588235294
25.020408163265305,49.97959183673469,75.95918367346938,71.3061224489796
30.2,66.6,77.0,73.8
24.3125,56.1875,74.6875,70.1875
28.25,66.5,70.5,71.75
24.216216216216218,64.85135135135135,66.64864864864865,62.648648648648646
